rule,precision,recall,rule_coverage,Target,Sample size
credit_score<=606 & customer_id<=15667633,0.243680485338726,0.1174463937621832,0.0989,0.2052,10000
"gender==""Female"" & balance<=126550.7",0.2432432432432432,0.5294117647058824,0.37,0.17,100
"gender==""Female"" & credit_score>645",0.2413793103448276,0.4117647058823529,0.29,0.17,100
"active_member==""No"" & credit_score>690",0.2413793103448276,0.4117647058823529,0.29,0.17,100
tenure<=6 & credit_score>690,0.2413793103448276,0.4117647058823529,0.29,0.17,100
credit_score<=566,0.2403846153846154,0.1213592233009708,0.104,0.206,1000
customer_id>15708714 & estimated_salary>97906.38,0.24,0.2912621359223301,0.25,0.206,1000
tenure<=5 & estimated_salary>160979.66,0.2385908726981585,0.145224171539961,0.1249,0.2052,10000
estimated_salary>130805.54,0.2378640776699029,0.4757281553398058,0.412,0.206,1000
customer_id<=15617476,0.2371342078708375,0.2290448343079922,0.1982,0.2052,10000
"active_member==""No"" & credit_score>645",0.2368421052631578,0.5294117647058824,0.38,0.17,100
"estimated_salary<=123825.83 & credit_card==""Yes""",0.2352941176470588,0.7058823529411765,0.51,0.17,100
"tenure<=6 & active_member==""No""",0.2352941176470588,0.4705882352941176,0.34,0.17,100
tenure<=5 & customer_id<=15667633,0.2342177493138152,0.2495126705653021,0.2186,0.2052,10000
age>34,0.2333333333333333,0.8235294117647058,0.6,0.17,100
"country!=""Spain"" & credit_score>690",0.2333333333333333,0.4117647058823529,0.3,0.17,100
"balance<=126550.7 & country!=""Spain""",0.2321428571428571,0.7647058823529411,0.56,0.17,100
"balance<=126550.7 & active_member==""No""",0.2307692307692307,0.7058823529411765,0.52,0.17,100
"customer_id>15692991 & country!=""Spain""",0.2307692307692307,0.5294117647058824,0.39,0.17,100
tenure<=2,0.2307692307692307,0.1764705882352941,0.13,0.17,100
tenure<=1,0.2305882352941176,0.1432748538011695,0.1275,0.2052,10000
age>29,0.2298583700951938,0.9649122807017544,0.8614,0.2052,10000
credit_score<=606,0.2287029930928626,0.290448343079922,0.2606,0.2052,10000
"customer_id>15692991 & active_member==""No""",0.2285714285714285,0.4705882352941176,0.35,0.17,100
balance<=126550.7 & customer_id>15750874,0.2285714285714285,0.4705882352941176,0.35,0.17,100
tenure<=5 & estimated_salary>129525.5,0.2257409663012586,0.2709551656920078,0.2463,0.2052,10000
tenure<=6 & credit_score>645,0.225,0.5294117647058824,0.4,0.17,100
customer_id<=15667633,0.224177505738332,0.4283625730994152,0.3921,0.2052,10000
customer_id>15708714,0.2227722772277227,0.4368932038834951,0.404,0.206,1000
customer_id>15692991 & credit_score>690,0.2222222222222222,0.3529411764705882,0.27,0.17,100
estimated_salary>160979.66,0.2209462563160312,0.2344054580896686,0.2177,0.2052,10000
balance<=126550.7 & credit_score>690,0.2195121951219512,0.5294117647058824,0.41,0.17,100
age>27,0.2192224622030237,0.9854368932038836,0.926,0.206,1000
estimated_salary>97906.38,0.2191558441558441,0.6553398058252428,0.616,0.206,1000
"estimated_salary>68985.99 & credit_card==""Yes""",0.21875,0.8235294117647058,0.64,0.17,100
tenure<=4,0.21875,0.4117647058823529,0.32,0.17,100
tenure<=6,0.2181818181818181,0.7058823529411765,0.55,0.17,100
"credit_card==""Yes"" & credit_score>645",0.2181818181818181,0.7058823529411765,0.55,0.17,100
credit_score>690,0.217391304347826,0.5882352941176471,0.46,0.17,100
tenure<=3,0.2173786689915722,0.3645224171539961,0.3441,0.2052,10000
"country!=""Spain""",0.2173366834170854,0.8398058252427184,0.796,0.206,1000
tenure<=5,0.2171953857245854,0.5872319688109162,0.5548,0.2052,10000
"credit_card==""No""",0.2168141592920354,0.2378640776699029,0.226,0.206,1000
"country!=""Spain""",0.2153846153846154,0.8235294117647058,0.65,0.17,100
